"category","key","screen_or_flow","situation","constraints","draft_text"
"error","SCR-06.error.protected","SCR-06","Entry load fails with error 104 (protected/not visible)","Shown then the screen closes, not a hard error","This entry is protected. You'll need to be an approved follower to see it."
"error","SCR-06.error.unavailable","SCR-06","Entry load fails with error 202 (entry unavailable) - reached via stale push/notification/prev-next/shared link","Never a generic failure, never a blank entry screen","This entry is no longer available."
"error","SCR-06.error.load_generic","SCR-06","Entry load fails for any other reason","Uses the generic message","Couldn't load this entry. Check your connection and try again."
"error","SCR-06.comments_disabled","SCR-06 / SCR-15","The comment/reply action is unavailable because the journal disallows comments (proactive gate on actions.comment, or defensive fallback for error 205)","Same message for the proactive and defensive cases","Comments are turned off for this journal."
"error","SCR-09.error.unusable_photo","SCR-09 / SCR-10","The chosen/captured photo is an unsupported type or too small","Stays on SCR-09, or aborts back to it from SCR-10","That photo can't be used. Please choose a different one."
"error","SCR-09.permission.camera_refused","SCR-09 / SCR-25 (avatar)","Camera permission refused (but the OS may still prompt again later)","Must not block the rest of compose - 'Choose from device' still works","Camera access is off, so you can't take a photo here. You can still choose one from your device."
"error","SCR-09.permission.camera_blocked","SCR-09 / SCR-25 (avatar)","Camera permission refused permanently (OS will no longer prompt)","Routes to system settings rather than re-requesting into silence","Camera access is turned off in system settings. Turn it on there to take photos."
"label","SCR-09.permission.open_settings","SCR-09 / SCR-25 / SCR-29","Button routing to OS app-settings screen, reused wherever a permission is permanently blocked","One short label","Open settings"
"error","SCR-13.error.generic","SCR-13","Edit/replace-photo save fails for a reason not covered by a specific validation code","Uses the generic write-failure phrasing","Couldn't save your changes. Check your connection and try again."
"error","SCR-15.error.post_failed","SCR-15","Comment/reply/edit post fails","Must reassure the text is preserved","Couldn't post your comment. Your text is still here - try again."
"validation","SCR-16.error.no_reason","SCR-16","Send tapped with zero reasons selected","Already drafted in the spec","Select a reason"
"error","SCR-18.error.load_generic","SCR-18","Profile load fails for a reason other than 103/101","Uses generic message","Couldn't load this profile. Check your connection and try again."
"error","SCR-25.error.save_generic","SCR-25","A settings section fails to save for a reason not covered by a specific validation code","Keeps the user's edits in place","Couldn't save your changes. Check your connection and try again."
"error","SCR-30.error.load","SCR-30","Locally-stored account/token state fails to load (rare)","Retry only, no network call involved","Couldn't load your accounts. Try again."
"confirm","CONFIRM.hide.title","rules.md / FLW-10 (SCR-06, SCR-18, SCR-24)","User taps Hide on a member's profile, entry, or comment","Must state effect AND non-effect, verbatim per rules.md's fixed vocabulary; this is the one string the spec already mandates near-exactly","Hide {username}?"
"confirm","CONFIRM.hide.body","rules.md / FLW-10","Same as above","The paired shape (effect, then non-effect) is a hard requirement, not house style","You won't see their entries, comments or notifications.
This doesn't stop them seeing your journal or commenting on your entries."
"confirm","CONFIRM.hide.offer_private","FLW-10","Offered inline only when the journal is public","Separate, clearly-labelled choice - never bundled into the hide itself","Make your journal private"
"confirm","CONFIRM.hide.offer_remove_follower","FLW-10","Offered inline only when the journal is protected and this member currently follows it","Must not be labelled 'Refuse' - there's no pending request here","Remove them as a follower"
"confirm","CONFIRM.hide.confirm_button","rules.md / FLW-10","Primary action on the hide dialog","One word","Hide"
"confirm","CONFIRM.hide.undo_toast","FLW-10","Brief undo affordance shown immediately after hiding, in case of a mis-tap","Short-lived toast/snackbar","{username} hidden. Undo"
"confirm","CONFIRM.unhide.toast","SCR-31 / SCR-06 / SCR-18","Unhide is immediate and needs no blocking confirmation per SCR-31's spec - this is lightweight feedback, not an 'are you sure' dialog","Not a confirmation dialog - a toast/snackbar acknowledging the action completed","{username} unhidden - you'll see their content again."
"confirm","CONFIRM.unfollow.title","FLW-08 (SCR-06, SCR-18)","User taps Unfollow","Short, low-stakes - this is reversible and public information either way","Unfollow {username}?"
"confirm","CONFIRM.unfollow.body","FLW-08","Same as above","One line; no need for a paired effect/non-effect shape here - unfollow has one plain effect","You'll stop seeing their entries in your Following tab."
"confirm","CONFIRM.unfollow.button","FLW-08","Primary action","One word","Unfollow"
"confirm","CONFIRM.refuse.title","FLW-09 (SCR-20)","User taps Refuse on a pending follow request","Must state both halves, per rules.md's fixed pairing","Refuse {username}'s request?"
"confirm","CONFIRM.refuse.body","FLW-09","Same as above","Exact paired wording specified in rules.md - carried through verbatim","They won't be able to see your journal.
This doesn't hide their entries from you."
"confirm","CONFIRM.refuse.button","FLW-09","Primary action","One word","Refuse"
"confirm","CONFIRM.refuse.offer_hide","FLW-09","Offered as a separate action immediately after a successful refuse","Never applied automatically","Also hide {username}, so you don't see their entries either?"
"confirm","CONFIRM.restore_access.toast","SCR-21","Allow / restore access is immediate per SCR-21's spec, with no blocking confirmation - resolved 0308review.md R-201 in favour of a toast, matching SCR-31's Unhide (equally reversible - refuse again if it was a mistake)","Not a confirmation dialog - a toast/snackbar acknowledging the action completed","{username} can see your journal again."
"confirm","CONFIRM.restore_access.offer_hide","SCR-21","Offered after restoring access, if what the user actually wanted was to stop seeing that member","Separate action, not automatic","Their entries have always been visible to you. Want to hide them instead?"
"confirm","CONFIRM.remove_follower.public.title","SCR-19 / FLW-09","User removes a follower on a public journal","Must not imply a permanent block","Remove {username} as a follower?"
"confirm","CONFIRM.remove_follower.public.body","SCR-19","Same as above, public-journal variant","States the (mild) non-effect","This doesn't stop them seeing your journal - it's public. They can follow again anytime."
"confirm","CONFIRM.remove_follower.protected.title","SCR-19 / FLW-09","User removes a follower on a protected journal","Same title as the public variant - only the body differs","Remove {username} as a follower?"
"confirm","CONFIRM.remove_follower.protected.body","SCR-19","Protected-journal variant - must state they may ask again and that a fresh request can be refused, per rules.md","Must never imply a permanent block","They'll lose access to your journal, but they can ask to follow again - you can approve or refuse that request when it comes in."
"confirm","CONFIRM.remove_follower.button","SCR-19","Primary action, both variants","One phrase","Remove follower"
"confirm","CONFIRM.delete_entry.title","SCR-06 / SCR-13 / FLW-13","Owner taps Delete on their own entry","Irreversible - must say so plainly","Delete this entry?"
"confirm","CONFIRM.delete_entry.body","SCR-06 / SCR-13","Same as above","One line, plain","This can't be undone - the entry, its comments and its stats will be gone for good."
"confirm","CONFIRM.delete_entry.button","SCR-06 / SCR-13","Primary action","One word","Delete"
"confirm","CONFIRM.delete_comment.own.title","SCR-06 / SCR-24 / FLW-07","User deletes their own comment or reply","Irreversible","Delete this comment?"
"confirm","CONFIRM.delete_comment.own.body","SCR-06 / SCR-24","Same as above","One line","This can't be undone."
"confirm","CONFIRM.delete_comment.moderation.title","SCR-06 / SCR-24 / FLW-07","Journal owner deletes someone else's comment on their own entry","Must make clear it's the owner's moderation tool, and that it doesn't stop the commenter from posting again","Delete {username}'s comment from your journal?"
"confirm","CONFIRM.delete_comment.moderation.body","SCR-06 / SCR-24","Same as above","Clarifies the non-effect - this is not a block","This can't be undone. {username} will still be able to comment on your entries again."
"confirm","CONFIRM.delete_comment.button","SCR-06 / SCR-24","Primary action, both variants","One word","Delete"
"confirm","CONFIRM.discard.title","SCR-10 / SCR-11 / SCR-13 / SCR-15 / SCR-25","Backing out of any editor (compose, description, edit entry, comment, settings) with unsaved changes","One shared string reused everywhere a discard guard is specified","Discard your changes?"
"confirm","CONFIRM.discard.body","Same screens","Same as above","One line","You'll lose what you've written if you leave now."
"confirm","CONFIRM.discard.button_discard","Same screens","Destructive action","One word","Discard"
"confirm","CONFIRM.discard.button_keep_editing","Same screens","Safe/default action","Short","Keep editing"
"confirm","CONFIRM.remove_account.title","SCR-30 / FLW-02 / FLW-22","User taps Remove account","Must be clear this is a full sign-out of the app, distinct from a mode downgrade","Remove {username} from this app?"
"confirm","CONFIRM.remove_account.body","SCR-30 / FLW-02","Same as above","Notes any queued work is cancelled and notifications stop","This signs the account out of the app completely and cancels any of its uploads still in progress. You'll need to sign in again to use it here."
"confirm","CONFIRM.remove_account.button","SCR-30","Primary, destructive action","One phrase","Remove account"
"confirm","CONFIRM.avatar_delete.title","SCR-25","User deletes their profile picture","Reversible by uploading a new one, but worth a light confirm","Remove your profile picture?"
"confirm","CONFIRM.avatar_delete.button","SCR-25","Primary action","One word","Remove"
"confirm","FLW22.downgrade_to_readonly.title","FLW-22 / SCR-30","Read-write -> Read-only: the write token will be revoked","Must explain what's given up before it happens, per FLW-22 step 1","Switch {username} to read-only?"
"confirm","FLW22.downgrade_to_readonly.body","FLW-22","Same as above","Reassures it's reversible","This signs {username} out of posting, reacting, commenting and following. You can switch back to read-write anytime - you'll just need to sign in again."
"confirm","FLW22.downgrade_to_readonly.button","FLW-22","Primary action","Short phrase","Switch to read-only"
"confirm","FLW22.upgrade_to_readwrite.title","FLW-22 / SCR-30","Read-only -> Read-write: a new write-token authorization is needed","Explains a new sign-in step is coming, before launching it","Switch {username} to read-write?"
"confirm","FLW22.upgrade_to_readwrite.body","FLW-22","Same as above","Sets expectation for the OAuth round that follows","This needs one more sign-in step, to authorize posting, reacting, commenting and following."
"confirm","FLW22.upgrade_to_readwrite.button","FLW-22","Primary action","Short phrase","Continue"
"confirm","FLW22.notifications_off.title","FLW-22 / SCR-25 / SCR-30","Turning notifications off (master switch or SCR-30 row) while a read token is held for the service","Must explain the read token is revoked and the service deregistered","Turn off notifications for {username}?"
"confirm","FLW22.notifications_off.body","FLW-22","Same as above","Reassures it's reversible","This signs the notification service out of this account. You can turn notifications back on anytime."
"confirm","FLW22.notifications_off.button","FLW-22","Primary action","Short phrase","Turn off notifications"
"confirm","FLW22.notifications_on.explainer","FLW-22 / FLW-20","Turning notifications on: one more sign-in step for the read-only service token, same interstitial as first sign-in","Reuses SCR-01.interstitial.second_auth's wording rather than a new string","One more step - authorize read-only access for notifications"
"validation","ERR.11.rate_limited","cross-screen (error-codes.md)","Error 11: request rate limit reached","Lightweight, not alarming; never retried in a loop","Please wait a moment and try again."
"validation","ERR.31.invalid_grant","SCR-01 (OAuth)","OAuth-layer code 31, on the rare occasion it surfaces as a code rather than a redirect error param","Same phrasing as the generic SCR-01 error","Sign-in failed. Please try again."
"validation","ERR.101.username_invalid","SCR-25 (username field)","Error 101 on a username field edit - malformed input, distinct from 'already taken'","Field-level validation message","That username isn't valid."
"validation","ERR.102.username_taken","SCR-25 (username field)","Error 102: username already taken by another account","Field-level validation message","That username is already taken."
"validation","ERR.104.protected","cross-screen (feeds/search/tag/map)","Error 104 inline within a list - shown per-item, not as a list-level error","Short inline label on the affected tile/row","Protected"
"validation","ERR.202.entry_unavailable","cross-screen","Error 202 wherever an entry is opened from a stale reference","Same wording as SCR-06.error.unavailable","This entry is no longer available."
"validation","ERR.205.comments_disabled","SCR-06 / SCR-15","Error 205, defensive fallback for the proactive comments-allowed gate","Same wording as SCR-06.comments_disabled","Comments are turned off for this journal."
"validation","ERR.223.favourite_quota","SCR-06 / FLW-06","Error 223: daily favourite quota reached; rolls back the optimistic +1","Must be specific - distinct from a generic failure","You've reached today's favourite limit. Try again tomorrow."
"validation","ERR.240.invalid_jpg","SCR-09 / SCR-10","Error 240, defensive fallback for whatever slips past client-side validation","Same wording as SCR-09.error.unusable_photo, JPEG-specific","That photo can't be used. Please choose a JPEG image."
"validation","ERR.250.publish_too_old","SCR-10","Error 250: date too far in the past, POST-time fallback for the proactive eligibility check","Already drafted in the spec, table format","That date is too far in the past."
"validation","ERR.251.publish_future","SCR-10","Error 251: date in the future","Already drafted in the spec","That date is in the future."
"validation","ERR.252.already_posted","SCR-10","Error 252: already have an entry that day (the core one-per-day rule)","Already drafted in the spec; worth an affordance to jump to that entry","You already have an entry for that day."
"validation","ERR.publish_blocked_neutral","SCR-10","Publish-eligibility 'blocked' state with no defined server message - spec explicitly says invent nothing","Deliberately neutral - do not guess a reason","You can't publish an entry for that date."
"validation","ERR.303_304.comment_no_reply","SCR-06 / SCR-15","Errors 303/304, defensive fallback for the proactive reply-flag gate","Same message for the proactive and defensive cases","This comment can't be replied to."
"validation","ERR.305.comment_no_delete","SCR-06 / SCR-24","Error 305, defensive fallback for the proactive delete-flag gate","Rare - UI should already hide the action","You can't delete this comment."
"validation","ERR.306.comment_no_edit","SCR-15","Error 306, defensive fallback for the proactive edit-flag gate","Rare - UI should already hide the action","You can only edit your own comments."
"validation","ERR.516_517.journal_title","SCR-25 (journal title field)","Errors 516/517: journal title invalid or too long. Confirmed limit 25 characters.","Field-level validation message, shown as the user approaches/exceeds the limit","Journal titles can be up to 25 characters."
"validation","ERR.525_526.entry_title","SCR-10 / SCR-13","Errors 525/526: entry title too long or invalid. Confirmed limit 50 characters.","Field-level validation message","Titles can be up to 50 characters."
"validation","ERR.527_528.tags","SCR-10 / SCR-13 / SCR-25","Errors 527/528: tags too long or invalid. Confirmed limit 255 characters across the whole comma-separated field.","Field-level validation message","Tags can be up to 255 characters in total."
"prompt","PERM.location.needed","SCR-02 (Nearby) / SCR-04 / SCR-12","Location permission not yet granted, needed for a location-dependent feature","Explains the ask before the OS prompt fires","Allow location access to use this."
"error","PERM.location.denied","SCR-02 (Nearby) / SCR-04 / SCR-12","Location permission refused or permanently blocked","Route to system settings","Location access is off. Turn it on in Settings to use this."
"error","PERM.notifications.refused","SCR-25 / SCR-29 / FLW-20 / FLW-22","OS notification permission already refused, and the platform will no longer prompt - shared by the settle-before-authorize step and the launch-time backstop check","Must not attempt to re-request; offer system settings instead, per rules.md","Notifications are turned off for this app in system settings. Turn them on there to receive pushes and reminders."
"explainer","SCR-29.safety_privacy.intro","SCR-29","Opening line of the Safety & privacy in-app explainer","Plain language framing before the specific tools are listed","A few different tools handle unwanted attention, and they do different jobs - here's what each one actually does."
"explainer","SCR-29.safety_privacy.hide","SCR-29","Explains Hide within the safety explainer","Must state effect and non-effect, consistent with the fixed vocabulary elsewhere","Hide a member - you stop seeing their entries, comments and notifications. It's personal, immediate and reversible, and they're never told. It doesn't stop them seeing your journal or commenting on your entries."
"explainer","SCR-29.safety_privacy.remove_follower","SCR-29","Explains Remove follower","Must not overstate the effect","Remove a follower - ends the relationship. On a private journal they lose access, but they can ask to follow again; on a public journal your entries were never hidden from them anyway."
"explainer","SCR-29.safety_privacy.refuse","SCR-29","Explains Refuse","Notes it requires a private journal and acts on a request, not an existing follower","Refuse a follow request - they can't see your journal. Only available on a private journal, and only against a request - there's nothing to refuse from someone already following you (remove them instead)."
"explainer","SCR-29.safety_privacy.delete_comment","SCR-29","Explains deleting comments on one's own entries","Frames it as the immediate, no-moderator-needed option","Delete a comment - on your own entries, you can remove any comment, from anyone, straight away. No need to wait for a report."
"explainer","SCR-29.safety_privacy.report","SCR-29","Explains Report","Distinguishes escalation from personal controls","Report - sends an entry or a comment to Blipfoto's moderators, who can act for everyone, not just you. Use this for anything that should be looked at more widely."
"explainer","SCR-29.safety_privacy.cutoff","SCR-29","Explains how to fully cut someone off, stated as a sequence rather than a single switch","Must be honest that it's several steps, and that one depends on them acting first","Want someone gone entirely? Make your journal private, remove them as a follower, hide them, and refuse any new request they send. That last step only becomes available once they actually ask again - it's a sequence, not one switch."
"label","SCR-29.row.icon_guide","SCR-29","Row label","Short","Icon guide"
"label","SCR-29.row.safety_privacy","SCR-29","Row label","Short","Safety & privacy"
"label","SCR-29.row.help","SCR-29","Row label, opens Blipfoto web page","Short","Help"
"label","SCR-29.row.terms","SCR-29","Row label, opens Blipfoto web page","Short","Terms & legal"
"label","SCR-29.row.privacy_policy","SCR-29","Row label, always reachable signed in or not","Short","Privacy policy"
"label","SCR-29.row.delete_account","SCR-29","Row label, always reachable signed in or not - opens Blipfoto's own account-deletion page, not scoped to any stored account in this app (0308review.md R-202)","Short; must not name or imply a specific stored account","Delete my account"
"label","SCR-29.row.delete_account.subtitle","SCR-29","Short explainer under the row, given the multi-account nuance the link itself can't convey","One line; makes clear this isn't in-app deletion of the active account","Opens your Blipfoto account settings on the web. Not specific to any account signed in here."
"label","SCR-29.row.link_handling","SCR-29","Device-level toggle, default off","Short, describes what enabling does","Open blipfoto.com links in this app"
"label","SCR-29.row.licences","SCR-29","Row label","Short","Open-source licences"
"push","PUSH.title","FLW-16","System notification title for both comment and notification-total pushes","Short; app identity","Blipfoto"
"push","PUSH.comments.body.one","FLW-16","Push body when the comments unread total has risen by exactly 1","Reports a count, never an event, actor or target - platform constraint per rules.md","1 new comment"
"push","PUSH.comments.body.many","FLW-16","Push body when the comments unread total has risen by more than 1","Template with count; correct plural","{count} new comments"
"push","PUSH.notifications.body.one","FLW-16","Push body when the notifications unread total has risen by exactly 1","Same constraint as comments","1 new notification"
"push","PUSH.notifications.body.many","FLW-16","Push body when the notifications unread total has risen by more than 1","Template with count; correct plural","{count} new notifications"
"push","PUSH.reauth_required.title","FLW-16 / FLW-02","System alert when the notification service's read token for this account has died","Distinct from an activity push - carries no type/target/actor triple","Sign-in needed"
"push","PUSH.reauth_required.body","FLW-16 / FLW-02","Same as above","Names the account, since several may be registered","Notifications for {username} need you to sign in again."
"push","REMINDER.title","FLW-18","Daily publish reminder, local notification","Warm, on-brand with 'One photo. Every day.'","Time for today's blip"
"push","REMINDER.body","FLW-18","Same as above","Must name the account per FLW-18 step 4, since more than one read-write account may have reminders","You haven't posted today's entry yet, {username}."
"label","HIDDEN.grid_tile.caption","SCR-02 / SCR-03 / SCR-05 / SCR-17 / SCR-18","Caption on a hidden-member placeholder tile in any grid","Must not name the member or show any content, per rules.md - tap-through reveals who it is","Hidden"
"state","HIDDEN.member_state.title","SCR-06 / SCR-18","Deliberately opening a hidden member's entry or profile (e.g. tapping the placeholder)","Shown instead of the content, with an Unhide action","You've hidden {username}"
"state","HIDDEN.member_state.body","SCR-06 / SCR-18","Same as above","Restates the effect briefly","You won't see their entries, comments or notifications until you unhide them."
"state","HIDDEN.member_state.button","SCR-06 / SCR-18","Action on the hidden-member state","One word","Unhide"
"label","HIDDEN.list_badge","SCR-19 / SCR-20 / SCR-03 (people)","Marker shown next to a hidden member's name in a people list, where they remain listed (so they can still be found to unhide)","Very short - a badge, not a sentence","Hidden"
"label","REFUSED.list_badge","SCR-19 / SCR-31","Marker shown on a row for a member who is also on the other list (refused <-> hidden cross-reference)","Very short - a badge, not a sentence","Also refused"
"label","HIDDEN.list_badge_on_refused_screen","SCR-21","Marker shown on SCR-21 for a refused member who is also hidden","Mirrors REFUSED.list_badge, other direction","Also hidden"
"state","SCR-21.header","SCR-21","Paired explainer line shown permanently at the top of the Refused Followers list","Exact wording given in the spec's own wireframe","They can't see your journal. This doesn't hide their entries from you."
"state","SCR-31.header","SCR-31","Paired explainer line shown permanently at the top of the Hidden Members list","Exact wording given in the spec's own wireframe","You won't see their entries, comments or notifications. This doesn't stop them seeing your journal or commenting on it."
"state","SCR-31.public_journal_warning","SCR-31","Standing reminder shown only when the journal is public - the fact most likely to surprise someone","Permanent, not just shown at the moment of hiding","Your journal is public, so hidden members can still see your entries."
